  
 ****** Capacitance Coefficient Arrays ******
  
        I       J         Cg Value
       12.     10.     0.19711E-11
       12.     11.     0.43021E-10
       12.     12.     0.18676E-17
       12.     13.     0.43094E-10
       12.     14.     0.19722E-11
       12.     15.     0.48589E-12
       12.     16.     0.22912E-12
       13.      1.     0.22383E-12
       13.      2.     0.12507E-12
       13.      3.     0.15413E-12
       13.      4.     0.16301E-12
       13.      5.     0.15550E-12
       13.      6.     0.13364E-12
       13.      7.     0.96046E-13
       13.      8.     0.14872E-12
       13.      9.     0.22919E-12
       13.     10.     0.48600E-12
       13.     11.     0.19734E-11
       13.     12.     0.43094E-10
       13.     13.     0.33861E-17
       13.     14.     0.43073E-10
       13.     15.     0.19714E-11
       13.     16.     0.48369E-12
       14.      1.     0.47673E-12
       14.      2.     0.19307E-12
       14.      3.     0.19628E-12
       14.      4.     0.18516E-12
       14.      5.     0.16044E-12
       14.      6.     0.12560E-12
       14.      7.     0.81511E-13
       14.      8.     0.11584E-12
       14.      9.     0.15303E-12
       14.     10.     0.23074E-12
       14.     11.     0.48659E-12
       14.     12.     0.19722E-11
       14.     13.     0.43073E-10
       14.     14.    -0.46258E-17
       14.     15.     0.43081E-10
       14.     16.     0.19680E-11
       15.      1.     0.19590E-11
       15.      2.     0.43187E-12
       15.      3.     0.29132E-12
       15.      4.     0.23179E-12
       15.      5.     0.17922E-12
       15.      6.     0.12706E-12
       15.      7.     0.74661E-13
       15.      8.     0.99193E-13
       15.      9.     0.11933E-12
       15.     10.     0.15398E-12
       15.     11.     0.23076E-12
       15.     12.     0.48589E-12
       15.     13.     0.19714E-11
       15.     14.     0.43081E-10
       15.     15.     0.48810E-17
       15.     16.     0.43015E-10
       16.      1.     0.43070E-10
       16.      2.     0.18794E-11
       16.      3.     0.59289E-12
       16.      4.     0.33527E-12
       16.      5.     0.21935E-12
       16.      6.     0.13797E-12
       16.      7.     0.72798E-13
       16.      8.     0.91009E-13
       16.      9.     0.10166E-12
       16.     10.     0.11931E-12
       16.     11.     0.15302E-12
       16.     12.     0.22912E-12
       16.     13.     0.48369E-12
       16.     14.     0.19680E-11
       16.     15.     0.43015E-10
       16.     16.     0.26564E-17
  
 ****** End of Capacitance Arrays ******
